Instance,Method,Profit,BKS,Gap,Time
10I1,GRASP_Inicial,2153,4324,50.20814061054579,0.86149
10I1,HillClimbing,4324,4324,0.0,0.455137
10I1,VND,4068,4324,5.920444033302498,0.548947
10I2,GRASP_Inicial,1939,4218,54.0303461356093,0.805471
10I2,HillClimbing,4009,4218,4.954954954954955,0.405288
10I2,VND,4218,4218,0.0,0.471178
10I3,GRASP_Inicial,1852,3794,51.18608328940433,0.712547
10I3,HillClimbing,3616,3794,4.691618344754876,0.288205
10I3,VND,3794,3794,0.0,0.419948
10I4,GRASP_Inicial,2055,4107,49.96347699050402,0.795477
10I4,HillClimbing,3895,4107,5.161918675432188,0.346985
10I4,VND,4107,4107,0.0,0.449952
10I5,GRASP_Inicial,1875,4027,53.439284827414944,0.71963
10I5,HillClimbing,4027,4027,0.0,0.428204
10I5,VND,3581,4027,11.075242115718897,0.281626
1I1,GRASP_Inicial,2000,3562,43.85176866928692,0.282547
1I1,HillClimbing,3360,3562,5.670971364402021,0.075905
1I1,VND,3562,3562,0.0,0.09057
1I2,GRASP_Inicial,2001,3549,43.61792054099746,0.320959
1I2,HillClimbing,3262,3549,8.086785009861932,0.073319
1I2,VND,3549,3549,0.0,0.096685
1I3,GRASP_Inicial,1907,3017,36.79151474975141,0.281887
1I3,HillClimbing,2910,3017,3.5465694398409013,0.046447
1I3,VND,3017,3017,0.0,0.065814
1I4,GRASP_Inicial,1927,3701,47.93299108349095,0.280307
1I4,HillClimbing,3482,3701,5.917319643339638,0.069571
1I4,VND,3701,3701,0.0,0.082835
1I5,GRASP_Inicial,2403,3396,29.24028268551237,0.315242
1I5,HillClimbing,3188,3396,6.124852767962309,0.04717
1I5,VND,3396,3396,0.0,0.068319
2I1,GRASP_Inicial,1043,2128,50.98684210526315,0.096094
2I1,HillClimbing,1980,2128,6.954887218045112,0.012407
2I1,VND,2128,2128,0.0,0.016756
2I2,GRASP_Inicial,1172,2010,41.691542288557216,0.092864
2I2,HillClimbing,1976,2010,1.691542288557214,0.013789
2I2,VND,2010,2010,0.0,0.014915
2I3,GRASP_Inicial,867,1875,53.76,0.0983
2I3,HillClimbing,1480,1875,21.066666666666666,0.009546
2I3,VND,1875,1875,0.0,0.02899
2I4,GRASP_Inicial,778,2001,61.11944027986007,0.086518
2I4,HillClimbing,2001,2001,0.0,0.017688
2I4,VND,1904,2001,4.847576211894053,0.023544
2I5,GRASP_Inicial,1177,1985,40.70528967254408,0.095738
2I5,HillClimbing,1923,1985,3.123425692695214,0.015528
2I5,VND,1985,1985,0.0,0.016234
3I1,GRASP_Inicial,390,1385,71.84115523465704,0.052893
3I1,HillClimbing,1367,1385,1.2996389891696751,0.00779
3I1,VND,1385,1385,0.0,0.006587
3I2,GRASP_Inicial,626,1391,54.99640546369518,0.050667
3I2,HillClimbing,1270,1391,8.698777857656362,0.005109
3I2,VND,1391,1391,0.0,0.006265
3I3,GRASP_Inicial,612,1437,57.41127348643006,0.049634
3I3,HillClimbing,1304,1437,9.255393180236604,0.00766
3I3,VND,1437,1437,0.0,0.008936
3I4,GRASP_Inicial,709,1346,47.32540861812778,0.055974
3I4,HillClimbing,1037,1346,22.956909361069837,0.002193
3I4,VND,1346,1346,0.0,0.006312
3I5,GRASP_Inicial,826,1341,38.40417598806861,0.053122
3I5,HillClimbing,1334,1341,0.5219985085756897,0.005328
3I5,VND,1341,1341,0.0,0.007982
4I1,GRASP_Inicial,467,1156,59.602076124567475,0.037606
4I1,HillClimbing,1156,1156,0.0,0.00441
4I1,VND,1067,1156,7.698961937716263,0.00313
4I2,GRASP_Inicial,408,1004,59.36254980079681,0.034287
4I2,HillClimbing,955,1004,4.8804780876494025,0.003229
4I2,VND,1004,1004,0.0,0.003233
4I3,GRASP_Inicial,413,976,57.684426229508205,0.027306
4I3,HillClimbing,936,976,4.098360655737705,0.002259
4I3,VND,976,976,0.0,0.00357
4I4,GRASP_Inicial,534,1063,49.76481655691439,0.03507
4I4,HillClimbing,878,1063,17.403574788334904,0.002485
4I4,VND,1063,1063,0.0,0.00509
4I5,GRASP_Inicial,406,1060,61.698113207547166,0.032402
4I5,HillClimbing,996,1060,6.037735849056604,0.003336
4I5,VND,1060,1060,0.0,0.005026
5I1,GRASP_Inicial,3103,6963,55.43587534108861,2.237486
5I1,HillClimbing,6963,6963,0.0,2.000459
5I1,VND,6581,6963,5.486141031164728,2.130641
5I2,GRASP_Inicial,3501,7087,50.599689572456604,2.311464
5I2,HillClimbing,7087,7087,0.0,1.905587
5I2,VND,6432,7087,9.24227458727247,2.483847
5I3,GRASP_Inicial,3322,6881,51.722133410841444,2.1701
5I3,HillClimbing,6810,6881,1.031826769364918,1.687936
5I3,VND,6881,6881,0.0,2.349891
5I4,GRASP_Inicial,3525,7178,50.891613262747285,2.294658
5I4,HillClimbing,7113,7178,0.9055447199777097,2.003515
5I4,VND,7178,7178,0.0,1.979895
5I5,GRASP_Inicial,3312,6968,52.46842709529277,2.110726
