InstanceKey,Method_etapa3,Method_etapa1,Profit_etapa3,Profit_etapa1,Time_etapa3,Time_etapa1,ProfitGain_%,TimeRatio
10I1,VNS,Greedy_MaxProfit,4641,4110,7.548997,0.000306,12.91970802919708,24669.924836601305
10I2,VNS,Greedy_MaxProfit,4703,4087,10.607792,0.000325,15.072180083190604,32639.36
10I3,ILS,Greedy_MaxProfit,4377,4277,2.867296,0.000348,2.338087444470423,8239.356321839081
10I4,VNS,Greedy_MaxProfit,4606,4430,8.088402,0.000321,3.9729119638826185,25197.51401869159
10I5,ILS,Greedy_MaxProfit,4363,4032,2.936257,0.000338,8.209325396825397,8687.150887573966
11I1,ILS,Greedy_MaxProfit,33873,31741,44.210619,0.001259,6.716864623042753,35115.6624305004
11I2,VNS,Greedy_MaxProfit,36566,31272,79.427128,0.001188,16.928882067024816,66857.85185185184
11I3,VNS,Greedy_MaxProfit,34918,31520,89.045844,0.001255,10.780456852791879,70952.86374501992
11I4,ILS,Greedy_MaxProfit,35297,30799,37.94814,0.001164,14.604370271762072,32601.494845360823
11I5,ILS,Greedy_MaxProfit,36090,31375,42.505253,0.001243,15.02788844621514,34195.698310539025
12I1,VNS,Greedy_MaxProfit,21710,20040,24.32441,0.000764,8.333333333333332,31838.232984293194
12I2,VNS,Greedy_MaxProfit,21071,18860,27.166956,0.000732,11.72322375397667,37113.32786885246
12I3,VNS,Greedy_MaxProfit,20817,18921,21.935273,0.000794,10.020612018392262,27626.288413098235
12I4,VNS,Greedy_MaxProfit,21966,18976,20.428193,0.000774,15.756745362563237,26393.014211886308
12I5,VNS,Greedy_MaxProfit,21960,18478,22.364636,0.000772,18.844030739257494,28969.73575129534
13I1,ILS,Greedy_MaxProfit,15339,13294,3.934732,0.000547,15.3828794945088,7193.294332723949
13I2,VNS,Greedy_MaxProfit,15549,13747,10.488992,0.000631,13.108314541354476,16622.80824088748
13I3,VNS,Greedy_MaxProfit,15344,14540,9.912803,0.000574,5.529573590096286,17269.69163763066
13I4,ILS,Greedy_MaxProfit,16031,13749,4.438647,0.000567,16.5975707324169,7828.301587301587
13I5,VNS,Greedy_MaxProfit,14763,14021,11.624544,0.000644,5.292061907139291,18050.534161490683
14I1,VNS,Greedy_MaxProfit,11600,11276,5.778144,0.000473,2.8733593472862715,12215.949260042284
14I2,ILS,Greedy_MaxProfit,11938,10098,2.225898,0.000573,18.221429986135867,3884.6387434554968
14I3,ILS,Greedy_MaxProfit,11688,11590,2.499527,0.000479,0.8455565142364107,5218.219206680585
14I4,VNS,Greedy_MaxProfit,11848,11025,6.16423,0.000486,7.464852607709751,12683.600823045268
14I5,VNS,Greedy_MaxProfit,12508,10283,5.867031,0.000465,21.637654381017214,12617.270967741935
15I1,VNS,Greedy_MaxProfit,9459,9051,4.595191,0.000655,4.507789194564136,7015.558778625954
15I2,VNS,Greedy_MaxProfit,9673,9484,4.814759,0.000449,1.992830029523408,10723.293986636969
15I3,VNS,Greedy_MaxProfit,11031,9505,3.807604,0.000415,16.05470804839558,9174.94939759036
15I4,VNS,Greedy_MaxProfit,10450,8753,4.1301,0.000557,19.38763852393465,7414.901256732495
15I5,VNS,Greedy_MaxProfit,9735,8538,4.498531,0.000396,14.019676739283204,11359.926767676769
16I1,VNS,Greedy_MaxProfit,37258,34837,176.593874,0.001794,6.949507707322675,98435.82720178372
16I2,ILS,Greedy_MaxProfit,38085,36056,79.553256,0.001792,5.627357443976037,44393.55803571429
16I3,ILS,Greedy_MaxProfit,39696,34621,61.816306,0.001865,14.658733138846364,33145.47238605898
16I4,VNS,Greedy_MaxProfit,39319,35169,185.699148,0.001724,11.800164917967528,107714.12296983758
16I5,ILS,Greedy_MaxProfit,36014,35450,72.887264,0.002026,1.5909732016925244,35975.944718657454
17I1,ILS,Greedy_MaxProfit,21925,19682,17.072946,0.001271,11.396199573214103,13432.687647521638
17I2,VNS,Greedy_MaxProfit,23794,22024,29.207353,0.001163,8.03668725027243,25113.80309544282
17I3,ILS,Greedy_MaxProfit,21924,21423,16.363742,0.001095,2.3386080380899035,14944.056621004564
17I4,ILS,Greedy_MaxProfit,21194,20962,15.535667,0.001112,1.106764621696403,13970.92356115108
17I5,VNS,Greedy_MaxProfit,21580,19534,42.77251,0.001145,10.474045254428177,37355.903930131004
18I1,ILS,Greedy_MaxProfit,15704,14590,6.707655,0.001288,7.635366689513365,5207.806677018633
18I2,VNS,Greedy_MaxProfit,16181,14777,17.840866,0.00128,9.501251945591122,13938.176562499997
18I3,ILS,Greedy_MaxProfit,15538,14503,6.251484,0.001212,7.136454526649659,5157.9900990099
18I4,ILS,Greedy_MaxProfit,15944,15693,7.142905,0.000831,1.5994392404256677,8595.55354993983
18I5,VNS,Greedy_MaxProfit,15592,15343,19.378547,0.000841,1.6228899172260967,23042.267538644475
19I1,VNS,Greedy_MaxProfit,13012,12203,8.996044,0.000766,6.6295173318036555,11744.182767624021
19I2,VNS,Greedy_MaxProfit,12735,12113,9.423692,0.000733,5.134978948237431,12856.332878581174
19I3,ILS,Greedy_MaxProfit,12462,11148,3.073665,0.000701,11.78686759956943,4384.686162624822
19I4,VNS,Greedy_MaxProfit,13040,11224,9.333535,0.000708,16.17961511047755,13182.959039548023
19I5,ILS,Greedy_MaxProfit,12467,12177,3.390154,0.00089,2.3815389669048206,3809.161797752809
1I1,VNS,Greedy_MaxProfit,3770,3322,2.397934,0.000165,13.485851896447922,14532.933333333332
1I2,ILS,Greedy_MaxProfit,3682,3254,0.922233,0.000145,13.153042409342348,6360.227586206896
1I3,VNS,Greedy_MaxProfit,3503,3220,2.167481,0.000153,8.788819875776397,14166.54248366013
