InstanceKey,Profit_ILS,Profit_VNS,Time_ILS,Time_VNS,BestProfit,Gap_ILS_%,Gap_VNS_%,Profit_Diff_VNS_minus_ILS,Time_Ratio_VNS_over_ILS
10I1,4551,4641,3.443263,7.548997,4641,1.9392372333548804,0.0,90,2.1923962822473917
10I2,4363,4703,4.011676,10.607792,4703,7.229428024665108,0.0,340,2.644229494106703
10I3,4377,4242,2.867296,7.895322,4377,0.0,3.0843043180260454,-135,2.7535775866879457
10I4,4412,4606,3.243401,8.088402,4606,4.2118975249674335,0.0,194,2.4938026472828985
10I5,4363,3971,2.936257,9.065359,4363,0.0,8.984643593857438,-392,3.087386083711338
11I1,33873,33873,44.210619,106.793013,33873,0.0,0.0,0,2.415551182398057
11I2,36177,36566,33.791225,79.427128,36566,1.0638297872340425,0.0,389,2.350525262105769
11I3,32818,34918,38.980633,89.045844,34918,6.014090154075262,0.0,2100,2.2843611595532582
11I4,35297,34188,37.94814,102.45777,35297,0.0,3.141910077343683,-1109,2.6999418153300794
11I5,36090,35946,42.505253,108.4305,36090,0.0,0.399002493765586,-144,2.550990579917263
12I1,21118,21710,7.825251,24.32441,21710,2.7268539843390145,0.0,592,3.1084510899394795
12I2,20959,21071,9.605054,27.166956,21071,0.5315362346352808,0.0,112,2.8284022140843765
12I3,20040,20817,9.108391,21.935273,20817,3.732526300619686,0.0,777,2.4082489431997374
12I4,21142,21966,8.436167,20.428193,21966,3.7512519348083404,0.0,824,2.4215017317698906
12I5,21074,21960,8.630727,22.364636,21960,4.034608378870674,0.0,886,2.5912806650007583
13I1,15339,15034,3.934732,10.585084,15339,0.0,1.9883955929330466,-305,2.690166445897713
13I2,14789,15549,4.369057,10.488992,15549,4.8877741333847835,0.0,760,2.4007450578008025
13I3,14942,15344,3.277109,9.912803,15344,2.619916579770594,0.0,402,3.0248621574686716
13I4,16031,15811,4.438647,10.511643,16031,0.0,1.3723410891397916,-220,2.3682088257975913
13I5,13789,14763,4.681466,11.624544,14763,6.5975750186276505,0.0,974,2.48309909759037
14I1,11225,11600,2.719689,5.778144,11600,3.2327586206896552,0.0,375,2.124560565564666
