Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,Greedy_MaxProfit,4110,3640,47,0.000312,Yes
10I1,Greedy_MinWeight,1493,1073,42,0.000238,Yes
10I1,Greedy_MaxProfitWeight,1493,1073,42,0.000225,Yes
10I1,Greedy_MinConflicts,2954,2454,50,0.000376,Yes
10I1,GRASP_MultiStart_100_alpha0.300000,2153,1633,52,0.830233,Yes
10I2,Greedy_MaxProfit,4087,3637,45,0.000330,Yes
10I2,Greedy_MinWeight,1549,1079,47,0.000262,Yes
10I2,Greedy_MaxProfitWeight,1549,1079,47,0.000250,Yes
10I2,Greedy_MinConflicts,2993,2483,51,0.000364,Yes
10I2,GRASP_MultiStart_100_alpha0.300000,1939,1449,49,0.791954,Yes
10I3,Greedy_MaxProfit,4277,3807,47,0.000356,Yes
10I3,Greedy_MinWeight,1186,756,43,0.000245,Yes
10I3,Greedy_MaxProfitWeight,1186,756,43,0.000220,Yes
10I3,Greedy_MinConflicts,2887,2397,49,0.000365,Yes
10I3,GRASP_MultiStart_100_alpha0.300000,1852,1352,50,0.718825,Yes
10I4,Greedy_MaxProfit,4430,3950,48,0.000446,Yes
10I4,Greedy_MinWeight,1162,752,41,0.000221,Yes
10I4,Greedy_MaxProfitWeight,1162,752,41,0.000207,Yes
10I4,Greedy_MinConflicts,3379,2889,49,0.000370,Yes
10I4,GRASP_MultiStart_100_alpha0.300000,2055,1565,49,0.786300,Yes
10I5,Greedy_MaxProfit,4032,3582,45,0.000412,Yes
10I5,Greedy_MinWeight,1047,657,39,0.000221,Yes
10I5,Greedy_MaxProfitWeight,1047,657,39,0.000200,Yes
10I5,Greedy_MinConflicts,2515,2035,48,0.000365,Yes
10I5,GRASP_MultiStart_100_alpha0.300000,1875,1405,47,0.709759,Yes
1I1,Greedy_MaxProfit,3322,2932,39,0.000138,Yes
1I1,Greedy_MinWeight,1234,840,34,0.000100,Yes
1I1,Greedy_MaxProfitWeight,1581,976,40,0.000112,Yes
1I1,Greedy_MinConflicts,2949,2442,42,0.000171,Yes
1I1,GRASP_MultiStart_100_alpha0.300000,2000,1375,42,0.282244,Yes
1I2,Greedy_MaxProfit,3254,2904,35,0.000137,Yes
1I2,Greedy_MinWeight,1325,814,39,0.000115,Yes
1I2,Greedy_MaxProfitWeight,1569,936,39,0.000117,Yes
1I2,Greedy_MinConflicts,2667,2187,42,0.000157,Yes
1I2,GRASP_MultiStart_100_alpha0.300000,2001,1298,43,0.321213,Yes
1I3,Greedy_MaxProfit,3220,2850,37,0.000148,Yes
1I3,Greedy_MinWeight,1335,945,39,0.000117,Yes
1I3,Greedy_MaxProfitWeight,1335,945,39,0.000115,Yes
1I3,Greedy_MinConflicts,2359,1929,43,0.000163,Yes
1I3,GRASP_MultiStart_100_alpha0.300000,1907,1467,44,0.280715,Yes
1I4,Greedy_MaxProfit,3437,3037,40,0.000154,Yes
1I4,Greedy_MinWeight,1256,886,37,0.000114,Yes
1I4,Greedy_MaxProfitWeight,1256,886,37,0.000102,Yes
1I4,Greedy_MinConflicts,2550,2140,41,0.000175,Yes
1I4,GRASP_MultiStart_100_alpha0.300000,1927,1527,40,0.281988,Yes
1I5,Greedy_MaxProfit,3421,3031,39,0.000218,Yes
1I5,Greedy_MinWeight,1684,1254,43,0.000126,Yes
1I5,Greedy_MaxProfitWeight,1684,1254,43,0.000111,Yes
1I5,Greedy_MinConflicts,2373,1973,40,0.000160,Yes
1I5,GRASP_MultiStart_100_alpha0.300000,2403,1923,48,0.306887,Yes
2I1,Greedy_MaxProfit,1753,1563,19,0.000130,Yes
2I1,Greedy_MinWeight,602,402,20,0.000100,Yes
2I1,Greedy_MaxProfitWeight,602,402,20,0.000077,Yes
2I1,Greedy_MinConflicts,1654,1384,27,0.000114,Yes
2I1,GRASP_MultiStart_100_alpha0.300000,1043,813,23,0.108385,Yes
2I2,Greedy_MaxProfit,1803,1603,20,0.000101,Yes
2I2,Greedy_MinWeight,663,443,22,0.000079,Yes
