Instance,Method,Profit,Weight,NumItems,Time,Feasible
10I1,Greedy_MaxProfit,4110,3640,47,0.000298,Yes
10I1,Greedy_MinWeight,1493,1073,42,0.000261,Yes
10I1,Greedy_MaxProfitWeight,1493,1073,42,0.000220,Yes
10I1,Greedy_MinConflicts,2954,2454,50,0.000388,Yes
10I1,GRASP_100_0.3,2153,1633,52,0.839185,Yes
10I2,Greedy_MaxProfit,4087,3637,45,0.000326,Yes
10I2,Greedy_MinWeight,1549,1079,47,0.000234,Yes
10I2,Greedy_MaxProfitWeight,1549,1079,47,0.000236,Yes
10I2,Greedy_MinConflicts,2993,2483,51,0.000380,Yes
10I2,GRASP_100_0.3,1939,1449,49,0.799542,Yes
10I3,Greedy_MaxProfit,4277,3807,47,0.000372,Yes
10I3,Greedy_MinWeight,1186,756,43,0.000240,Yes
10I3,Greedy_MaxProfitWeight,1186,756,43,0.000235,Yes
10I3,Greedy_MinConflicts,2887,2397,49,0.000373,Yes
10I3,GRASP_100_0.3,1852,1352,50,0.737496,Yes
10I4,Greedy_MaxProfit,4430,3950,48,0.000474,Yes
10I4,Greedy_MinWeight,1162,752,41,0.000285,Yes
10I4,Greedy_MaxProfitWeight,1162,752,41,0.000232,Yes
10I4,Greedy_MinConflicts,3379,2889,49,0.000392,Yes
10I4,GRASP_100_0.3,2055,1565,49,0.810485,Yes
10I5,Greedy_MaxProfit,4032,3582,45,0.000347,Yes
10I5,Greedy_MinWeight,1047,657,39,0.000215,Yes
10I5,Greedy_MaxProfitWeight,1047,657,39,0.000216,Yes
10I5,Greedy_MinConflicts,2515,2035,48,0.000377,Yes
10I5,GRASP_100_0.3,1875,1405,47,0.740309,Yes
1I1,Greedy_MaxProfit,3322,2932,39,0.000179,Yes
1I1,Greedy_MinWeight,1234,840,34,0.000107,Yes
1I1,Greedy_MaxProfitWeight,1581,976,40,0.000141,Yes
1I1,Greedy_MinConflicts,2949,2442,42,0.000191,Yes
1I1,GRASP_100_0.3,2000,1375,42,0.290161,Yes
1I2,Greedy_MaxProfit,3254,2904,35,0.000155,Yes
1I2,Greedy_MinWeight,1325,814,39,0.000119,Yes
1I2,Greedy_MaxProfitWeight,1569,936,39,0.000125,Yes
1I2,Greedy_MinConflicts,2667,2187,42,0.000176,Yes
1I2,GRASP_100_0.3,2001,1298,43,0.332424,Yes
1I3,Greedy_MaxProfit,3220,2850,37,0.000164,Yes
1I3,Greedy_MinWeight,1335,945,39,0.000129,Yes
1I3,Greedy_MaxProfitWeight,1335,945,39,0.000115,Yes
1I3,Greedy_MinConflicts,2359,1929,43,0.000180,Yes
1I3,GRASP_100_0.3,1907,1467,44,0.282303,Yes
1I4,Greedy_MaxProfit,3437,3037,40,0.000164,Yes
1I4,Greedy_MinWeight,1256,886,37,0.000116,Yes
1I4,Greedy_MaxProfitWeight,1256,886,37,0.000101,Yes
1I4,Greedy_MinConflicts,2550,2140,41,0.000180,Yes
1I4,GRASP_100_0.3,1927,1527,40,0.290526,Yes
1I5,Greedy_MaxProfit,3421,3031,39,0.000157,Yes
1I5,Greedy_MinWeight,1684,1254,43,0.000121,Yes
1I5,Greedy_MaxProfitWeight,1684,1254,43,0.000119,Yes
1I5,Greedy_MinConflicts,2373,1973,40,0.000204,Yes
1I5,GRASP_100_0.3,2403,1923,48,0.316948,Yes
2I1,Greedy_MaxProfit,1753,1563,19,0.000083,Yes
