Instance,Method,Profit,Weight,NumItems,Time,Feasible
11I1.txt,GRASP_Inicial,15604,14494,111,8.258269,Yes
11I1.txt,HillClimbing,32155,31045,111,7.102865,Yes
11I1.txt,VND,32471,31271,120,11.044783,Yes
11I2.txt,GRASP_Inicial,15712,14632,108,8.051033,Yes
11I2.txt,HillClimbing,33529,32449,108,7.126004,Yes
11I2.txt,VND,34033,32863,117,9.086008,Yes
11I3.txt,GRASP_Inicial,16181,15051,113,8.377982,Yes
11I3.txt,HillClimbing,28792,27662,113,5.923683,Yes
11I3.txt,VND,31931,30781,115,11.588488,Yes
11I4.txt,GRASP_Inicial,16653,15533,112,8.117047,Yes
11I4.txt,HillClimbing,30868,29748,112,6.228231,Yes
11I4.txt,VND,32757,31547,121,9.868780,Yes
11I5.txt,GRASP_Inicial,17310,16210,110,8.776319,Yes
11I5.txt,HillClimbing,34479,33379,110,7.318697,Yes
11I5.txt,VND,34925,33735,119,12.973351,Yes
12I1.txt,GRASP_Inicial,8268,7628,64,2.856260,Yes
12I1.txt,HillClimbing,19767,19127,64,2.175728,Yes
12I1.txt,VND,19370,18720,65,2.217017,Yes
12I2.txt,GRASP_Inicial,8364,7724,64,2.724783,Yes
12I2.txt,HillClimbing,18911,18271,64,1.559169,Yes
12I2.txt,VND,19405,18715,69,1.858893,Yes
12I3.txt,GRASP_Inicial,8121,7471,65,2.886316,Yes
12I3.txt,HillClimbing,20058,19408,65,1.929166,Yes
12I3.txt,VND,18564,17874,69,1.856653,Yes
12I4.txt,GRASP_Inicial,8467,7867,60,2.909247,Yes
12I4.txt,HillClimbing,21342,20742,60,2.164375,Yes
12I4.txt,VND,18667,17997,67,1.282900,Yes
12I5.txt,GRASP_Inicial,8699,8079,62,2.903062,Yes
12I5.txt,HillClimbing,18094,17474,62,1.442964,Yes
12I5.txt,VND,19497,18787,71,2.045160,Yes
13I1.txt,GRASP_Inicial,5907,5437,47,1.482925,Yes
13I1.txt,HillClimbing,11623,11153,47,0.434873,Yes
13I1.txt,VND,13031,12571,46,0.793431,Yes
13I2.txt,GRASP_Inicial,6651,6201,45,1.587530,Yes
13I2.txt,HillClimbing,14759,14309,45,0.670408,Yes
13I2.txt,VND,14198,13698,50,0.655201,Yes
13I3.txt,GRASP_Inicial,5864,5414,45,1.497731,Yes
13I3.txt,HillClimbing,14213,13763,45,0.607192,Yes
13I3.txt,VND,14067,13597,47,0.626291,Yes
13I4.txt,GRASP_Inicial,5929,5469,46,1.469775,Yes
13I4.txt,HillClimbing,13924,13464,46,0.607352,Yes
13I4.txt,VND,13123,12603,52,0.533738,Yes
13I5.txt,GRASP_Inicial,5810,5330,48,1.393772,Yes
13I5.txt,HillClimbing,9828,9348,48,0.321010,Yes
13I5.txt,VND,13581,13101,48,0.955945,Yes
14I1.txt,GRASP_Inicial,4392,4022,37,0.958791,Yes
14I1.txt,HillClimbing,7754,7384,37,0.137045,Yes
14I1.txt,VND,11225,10845,38,0.552939,Yes
14I2.txt,GRASP_Inicial,4620,4270,35,0.986185,Yes
14I2.txt,HillClimbing,10971,10621,35,0.340532,Yes
14I2.txt,VND,11740,11380,36,0.437265,Yes
14I3.txt,GRASP_Inicial,4755,4395,36,0.951081,Yes
14I3.txt,HillClimbing,9425,9065,36,0.236240,Yes
14I3.txt,VND,10635,10285,35,0.344487,Yes
14I4.txt,GRASP_Inicial,4432,4092,34,0.949113,Yes
14I4.txt,HillClimbing,9630,9290,34,0.168318,Yes
14I4.txt,VND,11559,11189,37,0.318722,Yes
14I5.txt,GRASP_Inicial,4435,4095,34,0.944029,Yes
14I5.txt,HillClimbing,8051,7711,34,0.164583,Yes
14I5.txt,VND,10538,10178,36,0.302886,Yes
15I1.txt,GRASP_Inicial,3294,3004,29,0.623281,Yes
15I1.txt,HillClimbing,9682,9392,29,0.208852,Yes
15I1.txt,VND,7857,7547,31,0.156526,Yes
15I2.txt,GRASP_Inicial,3432,3152,28,0.674838,Yes
15I2.txt,HillClimbing,8590,8310,28,0.133446,Yes
15I2.txt,VND,8589,8269,32,0.141947,Yes
15I3.txt,GRASP_Inicial,3948,3648,30,0.700108,Yes
15I3.txt,HillClimbing,5981,5681,30,0.070999,Yes
15I3.txt,VND,8831,8531,30,0.248027,Yes
15I4.txt,GRASP_Inicial,3945,3625,32,0.701742,Yes
15I4.txt,HillClimbing,5707,5387,32,0.048811,Yes
15I4.txt,VND,9238,8928,31,0.306687,Yes
15I5.txt,GRASP_Inicial,3737,3447,29,0.639681,Yes
15I5.txt,HillClimbing,8499,8209,29,0.142701,Yes
15I5.txt,VND,9363,9053,31,0.179657,Yes
16I1.txt,GRASP_Inicial,15419,14289,113,13.129075,Yes
16I1.txt,HillClimbing,33911,32781,113,12.385716,Yes
16I1.txt,VND,33656,32376,128,17.841469,Yes
16I2.txt,GRASP_Inicial,16807,15647,116,12.707323,Yes
16I2.txt,HillClimbing,36044,34884,116,12.150313,Yes
16I2.txt,VND,36693,35373,132,17.204766,Yes
16I3.txt,GRASP_Inicial,16274,15084,119,13.288215,Yes
16I3.txt,HillClimbing,36264,35074,119,12.725922,Yes
16I3.txt,VND,38259,36989,127,28.262361,Yes
16I4.txt,GRASP_Inicial,16807,15617,119,12.597784,Yes
16I4.txt,HillClimbing,33825,32635,119,10.631091,Yes
16I4.txt,VND,35707,34407,130,18.237789,Yes
16I5.txt,GRASP_Inicial,13845,12705,114,12.567907,Yes
16I5.txt,HillClimbing,34852,33712,114,11.882558,Yes
16I5.txt,VND,36014,34704,131,21.640891,Yes
17I1.txt,GRASP_Inicial,8564,7884,68,4.052265,Yes
17I1.txt,HillClimbing,20470,19790,68,2.291678,Yes
17I1.txt,VND,20095,19345,75,3.244224,Yes
17I2.txt,GRASP_Inicial,6981,6341,64,4.128118,Yes
17I2.txt,HillClimbing,20423,19783,64,2.487253,Yes
17I2.txt,VND,20720,20030,69,5.067854,Yes
17I3.txt,GRASP_Inicial,8715,8015,70,4.327181,Yes
17I3.txt,HillClimbing,20723,20023,70,2.684299,Yes
17I3.txt,VND,18793,18043,75,2.760588,Yes
17I4.txt,GRASP_Inicial,9438,8708,73,4.266752,Yes
17I4.txt,HillClimbing,18001,17271,73,1.623657,Yes
17I4.txt,VND,20010,19320,69,4.388644,Yes
17I5.txt,GRASP_Inicial,8006,7356,65,4.287403,Yes
17I5.txt,HillClimbing,20652,20002,65,2.913526,Yes
17I5.txt,VND,19892,19152,74,3.350486,Yes
18I1.txt,GRASP_Inicial,5459,4979,48,2.296679,Yes
18I1.txt,HillClimbing,14420,13940,48,0.994003,Yes
18I1.txt,VND,14660,14110,55,1.077526,Yes
18I2.txt,GRASP_Inicial,5488,4998,49,2.202503,Yes
18I2.txt,HillClimbing,14023,13533,49,1.055696,Yes
18I2.txt,VND,15946,15436,51,1.675191,Yes
18I3.txt,GRASP_Inicial,5708,5228,48,2.269209,Yes
18I3.txt,HillClimbing,16178,15698,48,1.345814,Yes
18I3.txt,VND,15538,15018,52,1.682685,Yes
18I4.txt,GRASP_Inicial,6084,5584,50,2.206459,Yes
18I4.txt,HillClimbing,12352,11852,50,0.589783,Yes
18I4.txt,VND,14530,14040,49,1.534162,Yes
18I5.txt,GRASP_Inicial,6030,5570,46,2.153585,Yes
18I5.txt,HillClimbing,13863,13403,46,0.748887,Yes
